TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
# Tags imported from e621 dump on 2026-04-15
# These are appended for review; re-sort into appropriate sections later

aged_down | Character drawn or written at a younger age than their canonical version, often for softer or cub-adjacent aesthetics. | age
aged_up | Character drawn or written at an older age than their canonical version, typically to place them in adult scenarios. | age
androgynous | Character whose features, clothing, or build don't clearly read as male or female, deliberately ambiguous. | gender
antlers | Branched bony head growths | head:general
bovid | Bovid species | species:bovid
bulge | A visible bulge in clothing over the genitals, shape of the penis pressed through fabric. | genitalia:male
canid | Canid species | species:canid
canis | Canis species | species:canid
cloaca | Single multi-purpose opening used for reproduction and waste, found in reptiles, birds, and some anthro variants. | genitalia:ambiguous
domestic_cat | Domestic cat (species-related) | species:felid
domestic_dog | Domestic dog (species-related) | species:canid
domestic_ferret | Domestic ferret (species-related) | species:mustelid
domestic_pig | A farmed pig species, bred for livestock rather than wild boar. | species:other
domestic_rabbit | Domestic rabbit (species-related) | species:lagomorph
domestic_sheep | Domestic sheep (species-related) | species:bovid
dragon_horns | Dragon-style horns | head:general
dragon_tail | Dragon-style tail | anatomy:tail
dragon_wings | Large leathery dragon-style wings, membrane stretched between bone spars. | anatomy:fantasy
elderly | Visibly aged character with grey fur or hair, age lines, and body proportions of a senior. | age
equid | Equid species | species:equid
erection | The state of a penis becoming or being erect, visible hardness. | genitalia:male
fang | Single elongated pointed tooth | head:mouth
fat | Soft, heavy build with rounded body and visible padding across belly, thighs, and hips. | body_type
felid | Felid species | species:felid
felis | Felis species | species:felid
fish | Fish species | species:fish
herpestid | A member of the mongoose family, slender-bodied carnivore species group. | species:other
hindpaw | Hindpaw | anatomy:limbs
humanoid_genitalia | A character with humanoid-style genitalia rather than species-specific anatomy. | species:other
knotted_penis | A penis with a swelling knot at the base, canine or fantasy anatomy. | genitalia:male
lamia | A serpent-bodied female creature from Greek mythology, humanoid upper and snake lower. | species:mythical
leporid | Leporid species | species:lagomorph
mammal | A mammal-class species character, warm-blooded with fur and live birth. | species:other
markings | Markings | coat:pattern
marsupial | A marsupial species character, pouched mammal class including kangaroos and opossums. | species:other
murid | A member of the mouse and rat family, rodent species group. | species:other
muscular_anthro | An anthro character with heavily muscled build, the bulk specifically anthro-framed. | species:other
muscular_female | Female character with pronounced muscle definition, ranging from athletic to bodybuilder-level bulk. | body_type
mythological_avian | Mythological avian (species-related) | species:avian
mythological_canine | Mythological canine (species-related) | species:canid
mythological_creature | A creature from mythology rather than real-world biology, general tag for mythic species. | species:other
mythological_equine | Mythological equine (species-related) | species:equid
mythological_scalie | Mythological scalie (species-related) | species:reptile
pantherine | Pantherine species | species:felid
pawpads | Soft paw pads | anatomy:limbs
penile | General tag relating to penis involvement in the scene, adjective-level marker. | genitalia:male
penis_tip | The glans or head of the penis, the tip specifically in focus. | genitalia:male
pinniped | Pinniped species | species:marine
primate | Primate species | species:primate
procyonid | A member of the raccoon family, ringtailed or banded mammals including coatis and kinkajous. | species:other
sciurid | Sciurid species | species:rodent
testicles | Testicles visible in the scene, scrotal anatomy on display. | genitalia:male
throbbing | Pulsing anatomical state | anatomy:general
vein | Visible vein | anatomy:general
veins | Prominent visible veins | anatomy:general
vulva | The external female genitalia, the visible anatomy including labia and clitoris. | genitalia:female
werecanid | A shapeshifting canine creature, wolf or dog equivalent of werewolf framing. | species:mythical
werecreature | A shapeshifting creature that alternates between human and animal form, general weretype. | species:mythical
young | General tag for a youthful character, applied when age is a relevant framing but more specific tags don't fit. | age


================================================================================
E621 IMPORT v2 - 2026-04-15
================================================================================
# Permissive import: dropped artist/character/modeler/meta categories
# These need re-sorting into appropriate sections

1_horn | A character with a single horn, unicorn or minor-fantasy silhouette. | anatomy:fantasy
2_horns | A character with two horns, the classic bovine or demon silhouette. | anatomy:fantasy
2_penises | A character with two penises (diphallism), the doubled phallic anatomy displayed. | genitalia:male
2_tails | Character with two tails | anatomy:tail
3_claws | Three claws per digit | anatomy:limbs
3_horns | A character with three horns, often triceratops-style or fantasy anatomy. | anatomy:fantasy
3_tails | Character with three tails | anatomy:tail
4_balls | A character with four testicles, extra pair beyond standard anatomy. | genitalia:male
4_breasts | Character with four breasts | anatomy:torso
4_claws | Four claws per digit | anatomy:limbs
4_horns | A character with four horns, fantasy anatomy with extra pairs. | anatomy:fantasy
4_wings | A character with four wings, insect or fantasy anatomy with additional pairs. | anatomy:fantasy
6_breasts | Character with six breasts | anatomy:torso
6_nipples | Character with six nipples | anatomy:torso
9_tails | Character with nine tails (kitsune-style) | anatomy:tail
absurdly_long_hair | Unrealistically long hair | hair:style
ambiguous_anthro | An anthro character of ambiguous sex, gender not clearly indicated by anatomy. | species:other
ambiguous_feral | A feral (fully quadrupedal) character of ambiguous sex, gender not visually clear. | species:other
ambiguous_species | A character whose species cannot be clearly identified from the depiction. | species:other
anatomically_correct_vulva | A vulva drawn accurately to the species rather than humanised. | genitalia:female
andromorph_anthro | Anthro character with intersex anatomy presenting visibly masculine — male build with additional female genitalia. | gender
angel_wings | Large white or pale feathered wings in the angelic aesthetic, dove-proportioned. | anatomy:fantasy
anglerfish | Anglerfish species | species:fish
animal_print_thigh_highs | Animal-print thigh-highs | clothing:general
animal_skin | Animal skin pattern on body | coat:pattern
animal_tail | Generic animal-style tail | anatomy:tail
animal_vulva | A non-humanoid animal vulva, species-specific anatomy rather than humanoid form. | genitalia:female
anothereidos_of_dragon_vein_r | Reference to the Anothereidos of Dragon Vein R game, scene drawing on its characters. | species:mythical
anthrofied | A non-anthro creature or object redesigned as an anthro, the anthropomorphisation the transformation. | species:other
aqua_shorts | Aqua-coloured shorts | clothing:general
aqua_skin | Aqua-coloured skin | coat:colour
aqua_thighhighs | Aqua-coloured thigh-highs | clothing:general
aquatic_dragon | A dragon adapted for water, fin-tailed and gilled rather than fire-breathing. | species:mythical
aran_sweater | Aran-knit sweater | clothing:general
argyle_sweater | Argyle-patterned sweater | clothing:general
argyle_thighhighs | Argyle-patterned thigh-highs | clothing:general
arm_feathers | Feathers along the arms | coat:colour
asian_clothing | East Asian-style clothing | clothing:general
ass | Buttocks | anatomy:rear
ass_cutout | Clothing with cutout exposing buttocks | clothing:general
assault_visor | Assault visor (military) | clothing:general
asticassia_school_uniform | Asticassia school uniform (Gundam) | clothing:general
asymmetrical_horns | Asymmetrical horns | head:general
asymmetrical_wings | A character with wings that don't match each other, different shape, size, or type per side. | anatomy:fantasy
athletic_anthro | Anthro character with a visibly athletic, toned build — fit and active rather than gym-sculpted. | body_type
average_penis | A penis of average size, neither notably large nor small. | genitalia:male
avian_butt | Bird-style rear | anatomy:rear
avian_caruncle | Bird caruncle (fleshy growth) | head:face
