TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
breasts_on_table | imported from e621 (e621 cat 0)
breasts_out | imported from e621 (e621 cat 0)
breasts_squeezed_together | imported from e621 (e621 cat 0)
breathing | imported from e621 (e621 cat 0)
breathing_fire | imported from e621 (e621 cat 0)
breathing_noises | imported from e621 (e621 cat 0)
breed | imported from e621 (e621 cat 0)
broken_glass | imported from e621 (e621 cat 0)
broken_horn | imported from e621 (e621 cat 0)
brown_antlers | imported from e621 (e621 cat 0)
brown_balls | imported from e621 (e621 cat 0)
brown_breasts | imported from e621 (e621 cat 0)
brown_claws | imported from e621 (e621 cat 0)
brown_clothing | imported from e621 (e621 cat 0)
brown_coat | imported from e621 (e621 cat 0)
brown_feathers | imported from e621 (e621 cat 0)
brown_horn | imported from e621 (e621 cat 0)
brown_horns | imported from e621 (e621 cat 0)
brown_nipples | imported from e621 (e621 cat 0)
brown_pawpads | imported from e621 (e621 cat 0)
brown_paws | imported from e621 (e621 cat 0)
brown_penis | imported from e621 (e621 cat 0)
brown_scales | imported from e621 (e621 cat 0)
brown_sheath | imported from e621 (e621 cat 0)
brown_shorts | imported from e621 (e621 cat 0)
brown_skin | imported from e621 (e621 cat 0)
brown_spots | imported from e621 (e621 cat 0)
brown_stripes | imported from e621 (e621 cat 0)
brown_sweater | imported from e621 (e621 cat 0)
brown_sweater_vest | imported from e621 (e621 cat 0)
brown_tail | imported from e621 (e621 cat 0)
brown_tail_tip | imported from e621 (e621 cat 0)
brown_thighhighs | imported from e621 (e621 cat 0)
brown_vulva | imported from e621 (e621 cat 0)
brown_wings | imported from e621 (e621 cat 0)
bulging_breasts | imported from e621 (e621 cat 0)
bursting_breasts | imported from e621 (e621 cat 0)
butt_blush | imported from e621 (e621 cat 0)
butt_crack | imported from e621 (e621 cat 0)
butt_crush | imported from e621 (e621 cat 0)
butt_focus | imported from e621 (e621 cat 0)
butt_from_the_front | imported from e621 (e621 cat 0)
butt_hair | imported from e621 (e621 cat 0)
butt_heart | imported from e621 (e621 cat 0)
butt_jiggle | imported from e621 (e621 cat 0)
butt_ripples | imported from e621 (e621 cat 0)
butt_shot | imported from e621 (e621 cat 0)
butt_slap | imported from e621 (e621 cat 0)
butt_smother | imported from e621 (e621 cat 0)
butt_sniffing | imported from e621 (e621 cat 0)
butt_squish | imported from e621 (e621 cat 0)
butt_tattoo | imported from e621 (e621 cat 0)
butt_tuft | imported from e621 (e621 cat 0)
butt_worship | imported from e621 (e621 cat 0)
butter | imported from e621 (e621 cat 0)
butterfly | imported from e621 (e621 cat 0)
butterfly-shaped_pupils | imported from e621 (e621 cat 0)
butterfly_brooch | imported from e621 (e621 cat 0)
butterfly_earrings | imported from e621 (e621 cat 0)
butterfly_hair_ornament | imported from e621 (e621 cat 0)
butterfly_net | imported from e621 (e621 cat 0)
butterfly_on_hand | imported from e621 (e621 cat 0)
butterfly_ornament | imported from e621 (e621 cat 0)
butterfly_print | imported from e621 (e621 cat 0)
butterfly_sitting | imported from e621 (e621 cat 0)
butterfly_tattoo | imported from e621 (e621 cat 0)
butterfly_wings | imported from e621 (e621 cat 0)
buttjob | imported from e621 (e621 cat 0)
button_(fastener) | imported from e621 (e621 cat 0)
button_badge | imported from e621 (e621 cat 0)
button_eyes | imported from e621 (e621 cat 0)
button_gap | imported from e621 (e621 cat 0)
button_mash_(mlp) | imported from e621 (e621 cat 11)
button_pop | imported from e621 (e621 cat 0)
buttons | imported from e621 (e621 cat 0)
buttplug | imported from e621 (e621 cat 0)
buttplug_in_ass | imported from e621 (e621 cat 0)
buttplug_insertion | imported from e621 (e621 cat 0)
buttplug_tail | imported from e621 (e621 cat 0)
cable_tail | imported from e621 (e621 cat 0)
caliburn_(fate) | imported from e621 (e621 cat 0)
camo_clothing | imported from e621 (e621 cat 0)
canid_demon | imported from e621 (e621 cat 5)
canid_humanoid | imported from e621 (e621 cat 5)
canid_taur | imported from e621 (e621 cat 5)
canine_vulva | imported from e621 (e621 cat 0)
canteen | imported from e621 (e621 cat 0)
caprine_horn | imported from e621 (e621 cat 0)
cargo_shorts | imported from e621 (e621 cat 0)
cassock | imported from e621 (e621 cat 0)
cat_paws | imported from e621 (e621 cat 0)
cat_tail | imported from e621 (e621 cat 0)
censored_nipples | imported from e621 (e621 cat 0)
censored_penis | imported from e621 (e621 cat 0)
censored_vulva | imported from e621 (e621 cat 0)
censored_with_cum | imported from e621 (e621 cat 0)
cervine_penis | imported from e621 (e621 cat 0)
cetacean_tail | imported from e621 (e621 cat 0)
chaos;child | imported from e621 (e621 cat 3)
check_translation | imported from e621 (e621 cat 5)
checkered_clothing | imported from e621 (e621 cat 0)
cheek_spots | imported from e621 (e621 cat 0)
chest_belt | imported from e621 (e621 cat 0)
chest_bow | imported from e621 (e621 cat 0)
chest_eye | imported from e621 (e621 cat 0)
chest_fur | imported from e621 (e621 cat 0)
chest_gem | imported from e621 (e621 cat 0)
chest_guard | imported from e621 (e621 cat 0)
chest_harness | imported from e621 (e621 cat 0)
chest_jewel | imported from e621 (e621 cat 0)
chest_of_drawers | imported from e621 (e621 cat 0)
chest_sarashi | imported from e621 (e621 cat 0)
chest_scar | imported from e621 (e621 cat 0)
chest_spike | imported from e621 (e621 cat 0)
chest_strap | imported from e621 (e621 cat 0)
chest_tattoo | imported from e621 (e621 cat 0)
chest_wraps | imported from e621 (e621 cat 0)
chestnut_mouth | imported from e621 (e621 cat 0)
chewing | imported from e621 (e621 cat 0)
chewing_gum | imported from e621 (e621 cat 0)
chicken-wing_tied | imported from e621 (e621 cat 0)
chihaya_(clothing) | imported from e621 (e621 cat 0)
child | imported from e621 (e621 cat 0)
child's_drawing | imported from e621 (e621 cat 0)
child_carry | imported from e621 (e621 cat 0)
child_on_child | imported from e621 (e621 cat 0)
chinese_clothing | imported from e621 (e621 cat 0)
chinese_knot | imported from e621 (e621 cat 0)
chip_'n_dale_rescue_rangers | imported from e621 (e621 cat 3)
chips_(food) | imported from e621 (e621 cat 0)
chocolate_chip_cookie | imported from e621 (e621 cat 0)
chocolate_on_breasts | imported from e621 (e621 cat 0)
choke_hold | imported from e621 (e621 cat 0)
chokehold | imported from e621 (e621 cat 0)
christmas_clothing | imported from e621 (e621 cat 0)
christmas_sweater | imported from e621 (e621 cat 0)
chubby_cheeks | imported from e621 (e621 cat 0)
chucklefish | imported from e621 (e621 cat 3)
cigarette_holder | imported from e621 (e621 cat 0)
circumcision_scar | imported from e621 (e621 cat 0)
classic_chica_(fnaf) | imported from e621 (e621 cat 11)
classic_lolita | imported from e621 (e621 cat 0)
classic_sonic_(universe) | imported from e621 (e621 cat 3)
classical_unicorn | imported from e621 (e621 cat 5)
classy | imported from e621 (e621 cat 0)
claw_(weapon) | imported from e621 (e621 cat 0)
claw_fingers | imported from e621 (e621 cat 0)
claw_foot_bathtub | imported from e621 (e621 cat 0)
claw_ring | imported from e621 (e621 cat 0)
clawed_gauntlets | imported from e621 (e621 cat 0)
cleft_tail | imported from e621 (e621 cat 0)
cloaca_juice | imported from e621 (e621 cat 0)
cloacal | imported from e621 (e621 cat 0)
cloacal_penis | imported from e621 (e621 cat 0)
clothed_anthro | imported from e621 (e621 cat 0)
clothed_feral | imported from e621 (e621 cat 0)
clothed_robot | imported from e621 (e621 cat 0)
clothes_between_breasts | imported from e621 (e621 cat 0)
clothes_between_thighs | imported from e621 (e621 cat 0)
clothing | imported from e621 (e621 cat 0)
clothing_around_legs | imported from e621 (e621 cat 0)
clothing_around_one_leg | imported from e621 (e621 cat 0)
clothing_bow | imported from e621 (e621 cat 0)
clothing_cutout | imported from e621 (e621 cat 0)
clothing_pull | imported from e621 (e621 cat 0)
clothing_request | imported from e621 (e621 cat 5)
clubstripes | imported from e621 (e621 cat 3)
coat | imported from e621 (e621 cat 0)
coat_dress | imported from e621 (e621 cat 0)
coat_on_shoulders | imported from e621 (e621 cat 0)
coat_partially_removed | imported from e621 (e621 cat 0)
coattails | imported from e621 (e621 cat 0)
cockatoo | imported from e621 (e621 cat 0)
cocked_hip | imported from e621 (e621 cat 0)
cocker_spaniel | imported from e621 (e621 cat 5)
cockpit | imported from e621 (e621 cat 0)
cockroach | imported from e621 (e621 cat 0)
cocktail_dress | imported from e621 (e621 cat 0)
cocktail_glass | imported from e621 (e621 cat 0)
cocky | imported from e621 (e621 cat 0)
code_geass | imported from e621 (e621 cat 3)
code_geass:_lost_stories | imported from e621 (e621 cat 3)
coke-bottle_glasses | imported from e621 (e621 cat 0)
cold | imported from e621 (e621 cat 0)
cold-blooded-twilight | imported from e621 (e621 cat 8)
color_coded | imported from e621 (e621 cat 0)
color_coded_speech_bubble | imported from e621 (e621 cat 0)
color_coded_text | imported from e621 (e621 cat 0)
color_connection | imported from e621 (e621 cat 0)
color_contrast | imported from e621 (e621 cat 0)
color_edit | imported from e621 (e621 cat 14)
color_guide | imported from e621 (e621 cat 0)
color_swatch | imported from e621 (e621 cat 0)
color_timer | imported from e621 (e621 cat 0)
color_trace | imported from e621 (e621 cat 0)
colored | imported from e621 (e621 cat 14)
colored_bangs | imported from e621 (e621 cat 0)
colored_blood | imported from e621 (e621 cat 0)
colored_cum | imported from e621 (e621 cat 0)
colored_edge_panties | imported from e621 (e621 cat 0)
colored_edge_underwear | imported from e621 (e621 cat 0)
colored_extremities | imported from e621 (e621 cat 0)
colored_eyelashes | imported from e621 (e621 cat 0)
colored_fire | imported from e621 (e621 cat 0)
colored_inner_animal_ears | imported from e621 (e621 cat 0)
colored_inner_hair | imported from e621 (e621 cat 0)
colored_line_art | imported from e621 (e621 cat 14)
colored_nails | imported from e621 (e621 cat 0)
colored_nipples | imported from e621 (e621 cat 0)
colored_pencil_(artwork) | imported from e621 (e621 cat 14)
colored_pencil_(medium) | imported from e621 (e621 cat 5)
colored_pubic_hair | imported from e621 (e621 cat 0)
colored_sclera | imported from e621 (e621 cat 0)
colored_seam_underwear | imported from e621 (e621 cat 0)
colored_shadow | imported from e621 (e621 cat 0)
colored_shoe_soles | imported from e621 (e621 cat 0)
colored_sketch | imported from e621 (e621 cat 14)
colored_skin | imported from e621 (e621 cat 0)
colored_speech_bubble | imported from e621 (e621 cat 0)
colored_teeth | imported from e621 (e621 cat 0)
colored_tips | imported from e621 (e621 cat 0)
colored_toenails | imported from e621 (e621 cat 0)
colored_tongue | imported from e621 (e621 cat 0)
colorful | imported from e621 (e621 cat 0)
colorful_background | imported from e621 (e621 cat 0)
colorful_theme | imported from e621 (e621 cat 14)
colorized | imported from e621 (e621 cat 5)
commanderthings | imported from e621 (e621 cat 8)
common_hippopotamus | imported from e621 (e621 cat 5)
comparing_penis | imported from e621 (e621 cat 0)
compass | imported from e621 (e621 cat 0)
cone_horns | imported from e621 (e621 cat 0)
conker's_bad_fur_day | imported from e621 (e621 cat 3)
convenient_censorship | imported from e621 (e621 cat 0)
convenient_tail | imported from e621 (e621 cat 0)
cool_colored | imported from e621 (e621 cat 0)
cool_colors | imported from e621 (e621 cat 14)
cotton_tail | imported from e621 (e621 cat 0)
countershade_balls | imported from e621 (e621 cat 0)
countershade_breasts | imported from e621 (e621 cat 0)
countershade_butt | imported from e621 (e621 cat 0)
countershade_fur | imported from e621 (e621 cat 0)
countershade_scales | imported from e621 (e621 cat 0)
countershade_tail | imported from e621 (e621 cat 0)
countershade_thighs | imported from e621 (e621 cat 0)
covered_abs | imported from e621 (e621 cat 0)
covered_nipples | imported from e621 (e621 cat 0)
covered_penis | imported from e621 (e621 cat 0)
covered_testicles | imported from e621 (e621 cat 0)
covering_ass | imported from e621 (e621 cat 0)
covering_nipples | imported from e621 (e621 cat 0)
covering_one_breast | imported from e621 (e621 cat 0)
cow_horns | imported from e621 (e621 cat 0)
cow_print_thigh_highs | imported from e621 (e621 cat 0)
cow_print_thighhighs | imported from e621 (e621 cat 0)
cow_tail | imported from e621 (e621 cat 0)
cracked_glass | imported from e621 (e621 cat 0)
cracked_skin | imported from e621 (e621 cat 0)
crocodilian_tail | imported from e621 (e621 cat 0)
cropped_sweater | imported from e621 (e621 cat 0)
crossgender | imported from e621 (e621 cat 0)
crossover_ship | imported from e621 (e621 cat 0)
crotch_breasts | imported from e621 (e621 cat 0)
crotchless_clothing | imported from e621 (e621 cat 0)
crystal_wings | imported from e621 (e621 cat 0)
cube | imported from e621 (e621 cat 0)
cube_hair_ornament | imported from e621 (e621 cat 0)
